epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1052.56,0.85474,1.62329,1.11186,0.98744,1,0.995,0.8979,0.49837,1.87986,1.03426,0.000654088,0.000654088,0.000654088
2,2097.42,0.5909,0.94191,0.96076,0.68411,0.80129,0.76986,0.48303,0.84691,1.98183,1.27534,0.0012946,0.0012946,0.0012946
3,2974.54,0.58432,0.77782,0.93991,0.9924,1,0.99271,0.89295,0.53903,0.8902,1.14078,0.00190872,0.00190872,0.00190872
4,3821.22,0.5441,0.67021,0.93553,0.97056,0.98891,0.99235,0.84329,0.53949,0.90542,1.03979,0.0018812,0.0018812,0.0018812
5,4735.27,0.53124,0.5698,0.93051,0.99474,1,0.995,0.94906,0.41708,0.58756,0.97808,0.0018416,0.0018416,0.0018416
